CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0152,0.9950497813857349,C0174,0.9696827531477081,C0184,0.9669859615373724
C0002,C0134,0.961827995398368,C0086,0.9541530421811042,C0159,0.9526129992207706
C0003,C0031,0.9759890619130708,C0129,0.9661592823853263,C0052,0.962764665392247
C0004,C0108,0.982616254301598,C0155,0.9660187415496181,C0102,0.9635875493972867
C0005,C0159,0.999869852733864,C0007,0.986547205541841,C0027,0.9682851817372409
C0006,C0187,0.8967204446435615,C0137,0.8770034512042095,C0003,0.8464224488244458
C0007,C0159,0.9889329144089238,C0005,0.986547205541841,C0027,0.9632717832391788
C0008,C0024,0.9336243563657581,C0194,0.8772292603224522,C0017,0.8709840601374821
C0009,C0121,0.9660315652194656,C0097,0.9542595775159097,C0180,0.9465254408969831
C0010,C0199,0.9952748195435729,C0198,0.9363987647883961,C0073,0.9326194257773638
C0011,C0107,0.9927312517189447,C0001,0.9596310926188294,C0091,0.953063280033445
C0012,C0126,0.9657279368924258,C0187,0.9616445557570155,C0013,0.9594707656327055
C0013,C0087,0.991917808433237,C0012,0.9594707656327055,C0126,0.9428459481060362
C0014,C0063,0.9936412775867766,C0167,0.9661249390834925,C0033,0.9487129674032226
C0015,C0058,0.9983219527516752,C0020,0.9728154698950543,C0033,0.9727584950173348
C0016,C0183,0.997917840089077,C0187,0.9792373889468439,C0039,0.9697842646529385
C0017,C0075,0.9276806046363076,C0051,0.9205636048992778,C0093,0.9154363258259075
C0018,C0183,0.9484543409577194,C0016,0.9419347132436534,C0117,0.918056233392663
C0019,C0161,0.8456637740625738,C0086,0.8340453390745831,C0103,0.8115899861250273
C0020,C0033,0.9924458456073959,C0058,0.9803238642479032,C0015,0.9728154698950543
